abrupt@	突然的;意外的
overflow@	滿(或多)得溢出
overhear@	無意中聽到;偷聽
oversleep@	睡過頭
overwhelm@	壓倒;征服;使受不了
overwork@	使工作過度;使過勞;過度使用
paddle@	用槳划(船)
parallel@	與...平行;比得上
patch@	補綴;修補;拼湊
patent@	取得...的專利權
patrol@	巡邏;巡查
peck@	琢;輕吻
peek@	偷看;窺視
peg@	用木釘釘;用木夾夾
penetrate@	穿過;透過;識破;滲透入
perceive@	察覺;感知;意識到
perch@	(鳥)飛落;棲息;(在較高處)暫歇
peril@	使有危險;危及
perish@	消滅;暴卒;枯萎
persist@	堅持;固執
pinch@	擰;夾
piss@	小便
pistol@	用手槍射擊
plead@	為(案件)辯護;懇求
pledge@	保證給予;許諾;發誓
plow@	犁;耕;開(路);破(浪)前進
pluck@	採;拔...的毛;扯
plunge@	投入;將...插入;急降
poke@	戳;捅;撥弄
preach@	佈道;說教
prevail@	勝過;優勝;流行
preview@	試演;試映
prey@	捕食;掠奪
prick@	刺(穿);扎(穿);使內心極度痛苦
profile@	畫側面像;描出輪廓;寫傳略
prolong@	延長;拉長;拖延
prop@	支撐;維持;架;擱
proportion@	使成比例;使平衡;分攤
prospect@	勘探;找礦
prune@	修剪;修整;修枝
publicize@	宣傳;公佈;廣告
puff@	一陣陣地吹;喘氣;用粉撲施粉
pulse@	搏動;跳動;振動
purchase@	買,購買
quack@	(鴨)呱呱叫
qualify@	使具有資格
quiver@	顫抖;抖動(翅膀等)
rack@	把...放在架子上
rally@	召集;團結;重新振作
ranch@	經營牧場(或農場)
rattle@	使發出咯咯聲;使驚惶失措
reap@	收割;收穫
reckon@	認為;把...看作;覺得;測量
recommend@	推薦,介紹
reel@	捲;繞
referee@	為...擔任裁判;仲裁
refute@	駁斥;反駁
reign@	君臨;統治
rejoice@	欣喜;慶祝
repay@	償還;報答
reproduce@	繁殖;複製
resent@	憤慨;怨恨
reside@	居住;駐在
resort@	訴諸;憑藉
restrain@	抑制;約束
resume@	重新開始;繼續;恢復
retort@	反駁;回嘴
reverse@	翻轉;倒退;反向
revive@	復甦;恢復生機;使甦醒
revolt@	反叛;起義;使反感
revolve@	旋轉;自轉;以...為中心
rib@	裝肋於;嘲弄
ridge@	使成脊狀
rifle@	洗劫,劫掠
rim@	形成邊緣;顯出邊緣
rip@	撕;扯
ripple@	起漣漪;(頭髮等)呈波狀
rival@	與...競爭;比得上
roam@	漫步;漫遊;流浪
rumble@	(雷等)隆隆響;(車輛)轆轆行駛
rustle@	(樹葉;紙等)沙沙作響;使沙沙作響
saddle@	給(馬背)裝鞍;使負擔
saint@	使成為聖徒
salute@	向...行禮;向...致敬
savage@	兇猛地攻擊;激烈抨擊
scan@	細看;審視
scar@	結疤;留下傷痕
scent@	嗅;聞
scheme@	策劃,密謀
scorn@	輕蔑;藐視
scramble@	攀爬;雜亂蔓延;爭奪
scrap@	將...作為廢物;將...拆毀
scrape@	刮;擦;勉強過日子
scroll@	使成卷形;用渦卷飾裝飾
secure@	把...弄牢;關緊
segment@	分割;切成片
sharpen@	削尖,磨快
shatter@	粉碎;砸碎
shield@	保護;庇護;掩蓋
shiver@	發抖;打顫
shove@	推;撞;亂塞
shred@	切成條狀;用碎紙機撕毀(文件)
shriek@	尖叫;發出尖聲
shudder@	發抖;戰慄
shutter@	為...裝遮板(或快門等);關(店)
simmer@	煨;燉;(危機等)即將爆發
slam@	猛地關上;砰地放下;打成滿貫
slap@	摑...耳光;侮辱
slaughter@	屠宰;屠殺
slay@	殺死;殺害
slump@	(沈重地)倒下;(經濟)衰落
smash@	粉碎;瓦解;殺球
snarl@	吠;咆哮;纏結
snatch@	奪走;抓住
sneak@	偷偷地走,溜
sniff@	嗅;用力吸;抽鼻涕
snore@	打鼾
snort@	噴鼻息;輕蔑(或憤怒)地哼
soak@	浸泡;使濕透
sober@	使醒酒;使清醒;變得嚴肅
soften@	使變柔軟;使變和藹
sole@	給(鞋等)裝底(或換底)
solo@	單獨地; 單獨表演;單飛
sow@	播(種)
sponge@	(用海綿)揩拭;海綿般地吸收
spotlight@	聚光照明;使公眾注意
sprint@	奮力而跑;衝刺
spur@	用靴刺踢;鞭策;鼓勵
squash@	把...壓扁(壓碎);鎮壓
squat@	蹲坐;蜷伏
stack@	把...疊成堆;堆放
stagger@	搖搖晃晃;蹣跚而行
stain@	沾污;染污;染色
stake@	把...押下打賭,拿...冒險
stall@	把...關入畜舍;使拋錨;支吾;拖延
startle@	使驚嚇;使驚奇
steer@	掌(船)舵,駕駛
stereotype@	使成為陳規;把...澆鑄成鉛板
stew@	(用文火)燉;使極度不安;悶熱冒汗
stink@	發惡臭;名聲臭
stoop@	屈身;彎腰駝背;屈尊
straighten@	把...弄直;澄清
strain@	拉緊;伸張;竭力;扭傷;過濾
strand@	使擱淺;處於困境
strap@	用帶捆綁(或束住)
stray@	迷路;流浪;分心;入歧途
streak@	形成條紋;疾駛;閃現
stride@	邁大步走;跨越
stroll@	散步;溜達
stumble@	絆腳;絆倒;踉蹌
stump@	砍去...的幹;作巡迴政治演說
stun@	使昏迷;使大吃一驚
stutter@	結結巴巴地說話
