acceptable@	可以接受的;令人滿意的
load@	裝載;擔子;工作量
lobby@	大廳;門廊
lobster@	龍蝦
lollipop@	棒棒糖
lord@	(大寫)上帝,基督
loudspeaker@	揚聲器,擴聲器,喇叭
luggage@	行李
lullaby@	催眠曲,搖籃曲
lung@	肺,肺臟
magnet@	磁鐵,磁石
maid@	侍女;女僕
major@	主修
majority@	過半數,大多數
mall@	大規模購物中心
management@	管理;經營;處理
manager@	經理
mankind@	人類
manners@	禮貌;規矩;風俗,習慣
marble@	大理石
March@	三月
math@	數學
mathematics@	數學
mayor@	市長,鎮長
meadow@	草地,牧草地
meanwhile@	其時,其間
medal@	獎章,紀念章,勳章
media@	媒介物;新聞媒介
medium@	中間;中庸;媒體;工具;傳播媒介
membership@	會員身分
mention@	提及,說起
merchant@	商人
mess@	混亂,凌亂的狀態
microphone@	麥克風
microwave@	微波爐
might@	力量,威力
mike@	擴音器;麥克風
mill@	磨坊;銑床;銑刀
millionaire@	百萬富翁
miner@	礦工
minor@	未成年者;副科
minority@	少數;少數民族;未成年
miracle@	奇蹟
misery@	痛苦;不幸;悲慘;窮困
missile@	飛彈,導彈
mission@	使節團;使命,任務
mist@	薄霧;噴霧
mixture@	混合,混和
mob@	暴民,烏合之眾
moisture@	濕氣
monk@	修道士;僧侶
mood@	心情,心境,情緒
mop@	拖把
moral@	道德;品行
motel@	汽車旅館
motor@	馬達,發動機
murder@	謀殺,兇殺
muscle@	肌;肌肉
mushroom@	蘑菇
musical@	歌舞劇;音樂片
mystery@	神祕,祕密
nanny@	保姆
nap@	打盹兒
native@	土著,原住民
navy@	海軍
necessity@	必需品
necktie@	領帶
neighborhood@	近鄰
nerve@	神經
network@	電視網;電腦網絡
nickname@	綽號,渾名
noble@	貴族
novelist@	小說家
nun@	修女;尼姑
oak@	橡樹
occasion@	場合,時刻
operator@	接線生;運算符號
opportunity@	機會;良機
opposite@	對立物
origin@	起源;由來
original@	原著;原畫;原版
orphan@	孤兒
outline@	外形;輪廓
overcoat@	外套,大衣
ownership@	物主身分;所有權
pad@	墊,襯墊;護墊;鞍墊
pail@	桶;提桶
pal@	伙伴;好友
palace@	皇宮,宮殿
pancake@	薄煎餅,薄烤餅
panic@	恐慌,驚慌
parade@	行列,遊行
paradise@	樂園
parcel@	小包,包裹
passage@	通行;走廊,過道
passion@	熱情,激情;酷愛
passport@	護照;通行證;執照
password@	密碼;口令;暗語
patience@	耐心;忍耐;耐性;毅力
pause@	暫停,間歇;躊躇,猶豫
pavement@	鋪築過的地面;人行道
paw@	腳爪;爪子
pay@	薪俸;報酬;報償;懲罰
pea@	豌豆
peak@	山頂;頂端
pearl@	珍珠
peel@	(水果,蔬菜等的)皮;(對蝦等的)殼
peep@	窺視;偷看;一瞥
penny@	便士;一便士硬幣
performance@	演出;演奏;表演
permission@	允許,許可,同意
permit@	許可證,執照
personality@	人格,品格
pest@	,害蟲;有害的植物
pickle@	醃黃瓜等的泡菜;鹽滷
pill@	藥丸,藥片;(女用)口服避孕藥
pilot@	(飛機等的)駕駛員
pine@	松樹
pint@	品脫(英美容量或液量名)
pit@	窪坑,凹處;地窖
pity@	憐憫;同情;憾事
plastic@	塑膠;塑膠製品;信用卡
plenty@	豐富;充足;大量
plug@	塞子,栓;堵塞物
plum@	洋李; 梅子
plumber@	管子工,鉛管工
pole@	柱;竿
politician@	政客
politics@	黨派關係,手腕,權術
poll@	民意測驗;投票,選舉
pony@	矮種馬;小馬
porcelain@	瓷;(總稱)瓷器
portion@	(一)部分
portrait@	肖像,畫像;相片
postage@	郵資,郵費
poster@	招貼,海報,廣告(畫)
postponement@	延期;延緩
pottery@	陶器
poverty@	貧窮,貧困
powder@	粉
prayer@	祈禱,禱告
preparation@	準備,預備
pressure@	壓力
priest@	牧師;神父
process@	過程,進程
product@	產品
profit@	利潤,盈利;收益
program@	節目
proof@	證據;物證;證明
property@	財產,資產
proposal@	提議;計劃;提案
protection@	保護
pub@	酒吧
punch@	一種用酒,果汁,香料等調和的飲料
quarrel@	爭吵
quote@	引文;報價
radar@	雷達
rag@	破布;抹布;破爛衣衫
raisin@	葡萄乾
rank@	等級;地位,身分
rate@	比率;價格
ray@	光線;輻射線
razor@	剃刀
reaction@	反應,感應
receipt@	收據,收條
receiver@	受領人;收件人,收款人
recorder@	錄影機;錄音機
regret@	懊悔,悔恨;抱歉,遺憾;哀悼
release@	發行,發表;釋放,解放
relief@	緩和,減輕;解除
religion@	宗教;宗教信仰
rent@	租金,租費
repair@	修理
replacement@	取代;接替
representative@	代表,代理人
republic@	共和國;共和政體
request@	要求,請求
reserve@	儲備(物);儲備金;保留(物);儲藏量
resource@	資源;物力,財力
response@	回答;答覆
responsibility@	責任
ribbon@	緞帶;絲帶
riddle@	謎,謎語
risk@	危險,風險
roar@	吼,嘯;怒號;喧鬧聲
roast@	烘烤;烤肉
robber@	搶劫者,強盜
robbery@	搶劫;盜取;搶劫案
robe@	長袍,浴衣,睡袍;學士服
rocket@	飛彈,火箭
romantic@	浪漫的人;愛幻想者
rot@	腐爛,腐壞;腐敗,墮落
rough@	高低不平的地面;粗製品;梗概;草圖
routine@	例行公事
rug@	小地毯;毛皮地毯
rumor@	謠言,謠傳
rust@	鏽,鐵鏽
sack@	袋;粗布袋
sake@	理由;緣故;利益
saucer@	淺碟
sausage@	香腸,臘腸
saving@	挽救;節儉,節約;儲金
scale@	尺度;等級;級別
scarecrow@	稻草人;威嚇物
scarf@	圍巾
scatter@	消散;分散
schedule@	清單;目錄;時間表;課程表
scholar@	學者
scholarship@	獎學金
scoop@	勺子;戽斗
scout@	斥候;童子軍
scream@	尖叫;尖銳刺耳的聲音
screw@	螺釘,螺絲釘
scrub@	擦洗,擦淨
seal@	圖章,印信;封(印)
security@	安全;保安;保障;證券,債券證券,債券
separation@	分開;分離
sex@	性別;色情;性交;性慾;性感
shade@	蔭;陰涼處;陰暗
shadow@	蔭;陰暗處;影子
shame@	羞恥(心),羞愧(感)
shampoo@	洗髮精
shave@	剃刀,刮鬍刀;修面
shepherd@	牧羊人
shovel@	鏟子,鐵鍬
sigh@	嘆氣,嘆息
signal@	信號;暗號;交通指示燈
similarity@	類似;相似
sin@	罪孽,罪惡
sip@	一小口
situation@	處境,境遇
skate@	冰鞋
ski@	滑雪屐
skip@	省略
skyscraper@	摩天樓
slave@	奴隸
sleeve@	袖子;袖套
slice@	薄片
slope@	傾斜;坡度
snap@	猛咬;突然折斷;劈啪聲;快照;活力
sore@	痛處;瘡,潰瘍;傷心事
sorrow@	悲痛,悲哀,悲傷,憂傷
spade@	鏟;鍬
spaghetti@	義大利麵條
spice@	香料,調味品;少許,一點
spill@	溢出;濺出;散落
spin@	旋轉;自旋
spit@	唾液,口水
spite@	惡意,心術不良
splash@	濺潑聲
sprain@	扭傷
spray@	浪花;噴霧
sprinkle@	稀疏小雨
spy@	間諜
squeeze@	榨;壓榨
stab@	刺,戳;刺破的傷口
stadium@	體育場,運動場;球場;競技場
staff@	(全體)職員;幕僚
stare@	凝視,注視
statue@	雕像,塑像
steady@	(關係確定的)情侶;固定支架
stepchild@	繼子(或繼女)
stepfather@	繼父,後父
stepmother@	繼母,後母
stereo@	立體音響裝置
sting@	螫針;刺
stir@	撥動,攪拌
stitch@	一針;(縫合傷口的)針線;針法
stocking@	長襪
stomach@	胃
stool@	凳子;擱腳凳;解大便
strategy@	策略,計謀
strength@	力量,力氣
strip@	條,帶;脫衣舞
structure@	結構;構造;建築物
studio@	工作室,畫室;雕塑室;照相館
stuff@	材料,原料;物品
style@	時尚;風格;文體
substance@	物質;主旨;要義
suburb@	郊區
suck@	吸吮,吸食;一口
suicide@	自殺,自殺行為
sum@	總和,總計
summary@	總結,摘要
summit@	頂峰;最高級會議
superior@	上司;長官
survey@	調查;調查報告
survival@	倖存;殘存
survivor@	倖存者,生還者
suspect@	嫌疑犯;可疑分子
suspicion@	懷疑,疑心,猜疑
sweat@	汗,汗水
swell@	鼓起,膨脹
switch@	開關,電閘
sword@	劍,刀
system@	系統
tablet@	藥片;小片
tack@	大頭釘;圖釘
tag@	標籤
tailor@	裁縫師
tap@	龍頭;竊聽器
tax@	稅;稅金
tease@	戲弄;賣弄風騷的女孩
technique@	技巧;技術
technology@	工藝學;工藝
temper@	情緒;脾氣;暴躁
temperature@	溫度
territory@	領土,版圖
text@	正文,本文
theory@	學說;論說
thirst@	渴,口渴
thread@	線
threat@	威脅,恐嚇
tickle@	呵癢;癢感;使人癢的東西
tide@	潮汐;潮水
timber@	木材;樹林
tissue@	紙巾;面紙;(動植物的)組織[
tobacco@	菸草;煙葉
ton@	噸
tortoise@	陸龜;龜,烏龜
toss@	擲幣賭勝負
tourism@	旅遊,觀光
tourist@	旅遊者,觀光者
tow@	拖,拉;牽引;拖輪;拖曳車
trace@	蹤跡
trader@	商人;交易人
trail@	拖曳物,尾部
transport@	交通工具
trash@	垃圾
traveler@	旅客;遊客
tray@	盤子,托盤
tremble@	震顫,發抖
trend@	趨勢,傾向;時尚
tribe@	部落;種族
troop@	軍隊,部隊
trunk@	樹幹;大血管
tub@	浴缸
tug@	牽引,拖曳
tulip@	鬱金香
tumble@	跌跤;墜落
tummy@	肚子
tune@	曲調;歌曲
tutor@	家庭教師
twig@	細枝;嫩枝
twin@	孿生兒
twist@	扭傷;曲解
typewriter@	打字機
union@	工會;結合
unity@	整體;一貫性
universe@	宇宙
upset@	翻倒;傾覆
van@	有蓋小貨車
variety@	多樣化,變化
vase@	花瓶
vehicle@	車輛;飛行器;傳播媒介;工具
verse@	詩;韻文
vest@	背心
vice-president@	副(總統、校長、總裁等)
victim@	受害者
violence@	暴力行為
violet@	紫蘿蘭
vision@	視力;視覺;洞察力
vitamin@	維他命
volume@	卷,冊
wag@	搖擺; 愛說笑打趣的人
wage@	薪水;報酬
wages@	代價;報償;工資總額
wagon@	運貨馬車
wander@	遊蕩;徘徊
warmth@	溫暖;親切;熱情
wax@	蠟;蜂蠟;耳垢
wealth@	財富;大量
weave@	織法,編法
web@	蜘蛛網;網狀物
weed@	雜草;野草
weep@	哭泣
wheat@	小麥
whip@	抽打;拍擊
whistle@	口哨;警笛
willow@	柳
wink@	眨眼;瞬間
wipe@	擦,揩
wisdom@	智慧,才智;名言
wrap@	覆蓋物
wrist@	手腕
X-ray@	X光照片
yawn@	呵欠
yell@	叫喊;吼叫;歡呼
yolk@	蛋黃
youngster@	年輕人
zipper@	拉鍊
zone@	地區;時區;(地)層
absolute@	絕對的;完全的
abstract@	抽象的
academic@	學術的
accidental@	偶然的;意外的
acid@	酸性的;有酸味的
adequate@	足夠的
admirable@	值得讚揚的;絕妙的
aggressive@	好鬥的,挑釁的;有進取精神的
agreeable@	欣然贊同的
alert@	警惕的;機敏的
amateur@	業餘的;外行的
ambitious@	有野心的
annual@	一年一次的;每年的
anxious@	焦慮的,掛念的
appropriate@	適當的,恰當的
artificial@	人工的
artistic@	藝術的
ashamed@	羞愧的
associate@	夥伴的;共事的;副的;聯合的
athletic@	運動的,體育的;行動敏捷的
atomic@	原子的
audio@	聽覺的,聲音的
awkward@	笨拙的;尷尬的
bald@	禿頭的
bankrupt@	破產的;已完全失敗的
broke@	一文不名的;破了產的
brutal@	野蠻的;粗暴的
characteristic@	特有的,獨特的
circular@	圓形的;環形的
civilian@	百姓的;民用的
clumsy@	笨拙的
coarse@	粗的,粗糙的
comic@	滑稽的
competitive@	競爭的
concrete@	具體的
consequent@	隨之發生的
conservative@	保守的,守舊的
consistent@	始終如一的,前後一致的
constructive@	建設性的;積極的;有助益的
content@	滿意的;甘願的
continual@	不間斷的,連續的
continuous@	連續的,不斷的
contrary@	相反的,對立的
conventional@	習慣的,慣例的
cooperative@	合作的;合作社的
copper@	紅銅色的
counter@	相反的;反對的;對立的
courageous@	英勇的,勇敢的
courteous@	有禮貌的
critical@	緊要的,關鍵性的,危急的
cunning@	狡猾的,奸詐的
damp@	有濕氣的;潮濕的
defensible@	可防禦的;可辯護的
defensive@	防禦的
definite@	明確的,確切的
delicate@	易碎的;嬌貴的
delightful@	令人愉快的,令人高興的
dense@	密集的,稠密的
dependable@	可靠的;可信任的
dependent@	依靠的;依賴的
desperate@	極度渴望的
detective@	偵查用的;探測用的
digital@	數字的
distinct@	與其他不同的
distinguished@	卓越的;著名的
divine@	神授的,天賜的
dominant@	佔優勢的,支配的,統治的
durable@	經久的,耐用的
dusty@	滿是灰塵的
dynamic@	動態的
earnest@	誠摯的;熱心的
economic@	經濟上的;經濟學的
economical@	經濟的,節約的
elastic@	有彈性的,有彈力的
elegant@	優美的,漂亮的
elementary@	基本的;初級的,基礎的
emotional@	易動情的
enormous@	巨大的
envious@	嫉妒的;羨慕的
essential@	必要的;實質的
eventual@	最後的;結果的
evident@	明顯的;明白的
experimental@	實驗性的;試驗性的
explosive@	爆炸(性)的;爆發性的
facial@	臉的;面部的
faithful@	忠實的;忠誠的
fantastic@	奇妙的
fatal@	致命的
favorable@	適合的
fertile@	(土地)肥沃的,富饒的;受精的
fierce@	兇猛的;殘酷的
financial@	財政的;金融的
flexible@	可彎曲的;可變通的
fluent@	流利的,流暢的
fortunate@	幸運的,僥倖的
fossil@	化石的;守舊的
fragrant@	香的
functional@	機能的;實用的
fundamental@	基礎的;根本的
furious@	狂怒的
genuine@	真的;非偽造的
gifted@	有天資的,有天賦的
gigantic@	巨大的,龐大的
glorious@	壯觀的,壯麗的
graceful@	優美的,雅緻的
gracious@	親切的;和藹的
grammatical@	文法的;合乎文法的
grateful@	感謝的,感激的
grave@	嚴重的;嚴肅的,認真的
greasy@	油膩的
guilty@	有罪的
habitual@	習以為常的
harsh@	粗糙的
healthful@	有益於健康的
honorable@	可尊敬的
hopeful@	抱有希望的
identical@	完全相同的
idle@	無所事事的
ignorant@	無知的,不學無術的
imaginable@	能想像的
imaginary@	虛構的;幻想的
imaginative@	虛構的;幻想的
influential@	有影響的
informative@	教育性的;有益的
initial@	開始的,最初的
intellectual@	智力的
intelligent@	有才智的
intense@	強烈的,劇烈的
intensive@	加強的;密集的
intermediate@	中等程度的,中級的
intimate@	親密的,熟悉的
junior@	年紀較輕的;資淺的三年級(生)的
keen@	熱心的;敏銳的;渴望的
lawful@	合法的
lean@	精瘦的;貧乏的
learned@	有學問的,博學的;精通的
leisurely@	從容不迫的,悠閒的
literary@	文學的,文藝的
logical@	合邏輯的;合理的
lousy@	不潔的;卑鄙的;討厭的
loyal@	忠誠的,忠心的
lunar@	月的;陰曆的
luxurious@	奢侈的;驕奢淫逸的
magnetic@	磁鐵的;磁性的
magnificent@	壯麗的,宏偉的
manual@	用手操作的
maximum@	最大限度的
mechanical@	機械的
memorable@	值得懷念的;難忘的
memorial@	追悼的;記憶的
mere@	僅僅的,只不過的
messy@	混亂的
mild@	溫和的,溫柔的
minimum@	最小的,最少的
miserable@	悽慘的;悲哀的
moderate@	中等的,適度的
modest@	審慎的;適度的
monthly@	每月的;每月一次的
mountainous@	多山的;巨大的
muddy@	多爛泥的;泥濘的
multiple@	複合的;多樣的
mutual@	相互的;共同的
mysterious@	神祕的;不可思議的
nearsighted@	近視的
needy@	貧窮的
nuclear@	原子能的;細胞核的
numerous@	許多的,很多的
obedient@	服從的,順從的
objective@	客觀的
occasional@	偶爾的,非經常的
offensive@	冒犯的,唐突的
oral@	口頭的,口述的;口部的
organic@	有機的
outstanding@	傑出的;未償付的
oval@	卵形的;橢圓形的
overnight@	通宵;整夜
partial@	部分的,局部的;不完全的
passive@	被動的;消極的
peculiar@	奇怪的;乖癖的
permanent@	永久的,永恆的;永遠的
persuasive@	有說服力的
pessimistic@	悲觀的
philosophical@	哲學的
physical@	身體的;物理學的
plentiful@	豐富的,充足的;多的
plural@	複數的
poisonous@	有毒的;有害的
portable@	手提式的;輕便的
precise@	精確的;準確的
preferable@	更可取的,更合意的
pregnant@	懷孕的
prime@	最初的;原始的;基本的
primitive@	原始的;遠古的;早期的
productive@	生產的,生產性的
professional@	職業性的
profitable@	有利的
prominent@	卓越的,著名的
promising@	有希望的,有前途的
prompt@	敏捷的;即時的,即期的
prosperous@	興旺的,繁榮的,昌盛的
psychological@	心理的,精神的
realistic@	現實的
relative@	有關的;相對的
reluctant@	不情願的;勉強的
remarkable@	非凡的;卓越的
respectable@	值得尊敬的;體面的
respectful@	恭敬的;尊敬人的
revolutionary@	革命的
rural@	農村的;田園的
senior@	年資較深的;四年級生的
severe@	嚴重的;劇烈的
shameful@	可恥的,丟臉的
shortsighted@	近視的;目光短淺的,缺乏遠見的
singular@	單數的;獨個的
slight@	輕微的;微小的
solar@	太陽的;日光的
sorrowful@	悲傷的;令人傷心的
spare@	多餘的,剩下的;空閒的
spicy@	辛辣的;痛快的
spiritual@	心靈的;崇高純潔的
splendid@	燦爛的;傑出的
stingy@	小氣的
submarine@	海底的
suspicious@	猜疑的,疑心的;多疑的
sympathetic@	同情的;有同情心的
systematic@	有系統的;成體系的
technological@	技術(學)的,工藝(學)的
tense@	繃緊的
thorough@	徹底的;完全的
thoughtful@	考慮周到的
timid@	膽小的;羞怯的
tiresome@	令人厭倦的
tolerable@	可忍受的;可容忍的
tolerant@	忍受的,容忍的
tough@	堅韌的,牢固的;頑固的;棘手的
tragic@	悲慘的,不幸的
tremendous@	巨大的;極度的,驚人的
tribal@	部落的;種族的
troublesome@	麻煩的,棘手的
unique@	獨特的
universal@	宇宙的;通用的
urban@	城市的
urgent@	緊急的,急迫的
vain@	愛虛榮的;徒然的
vast@	廣闊的,浩瀚的;非常的
very@	正是;恰好是;僅僅
virgin@	未玷污的
visual@	視力的;光學的
vital@	充滿活力的;致命的
voluntary@	自願的
weekly@	每週的;一週一次的
yearly@	每年的;按年的
youthful@	年輕的;富青春活力的
abandon@	放棄
absorb@	吸收(液體,氣體,光,聲等)
access@	取出(資料);使用;接近
accompany@	陪同;伴隨
accomplish@	完成;實現;達到
accuse@	指控
acquaint@	使認識;使熟悉
acquire@	取得;獲得
adapt@	使適應;使適合
adjust@	校準;調整;適應
alert@	向...報警;使警覺
amuse@	逗...高興
analyze@	分析
annoy@	惹惱,使生氣;使煩惱
apologize@	道歉
appoint@	任命,指派
arch@	使成弧形,拱起
arise@	升起
arouse@	喚起;激動;叫醒
assemble@	集合,召集
assign@	分配,分派
associate@	聯想,把...聯想在一起
assume@	假定
assure@	向...保證,擔保
attach@	裝上,貼上;使附屬
await@	等候,期待
backpack@	把...放入背包; 背負簡便行李旅行
bankrupt@	使破產;使赤貧
bargain@	討價還價
blend@	使混和
blink@	眨眼睛;閃爍
bloom@	開花;興盛
blossom@	開花;發展成
blush@	臉紅
boast@	吹牛;誇耀
bond@	以...作抵押;使...黏合
bounce@	彈起,彈回
breed@	使繁殖,飼養
broil@	烤;炙
calculate@	計算
campaign@	參加競選
carve@	刻,雕刻
catalog@	將...編入目錄
catalogue@	為...編目;登記,記載
cease@	停止,終止
cement@	黏緊,黏牢
cherish@	撫育;愛護
chirp@	鳥發啾聲;蟲發唧聲;人嘁喳說話
circulate@	流通;發行
clarify@	澄清;闡明
clash@	砰地相碰撞
classify@	將...分類
climax@	使達到頂點(或高潮)
code@	為...編碼
collapse@	倒塌
comment@	評論
commit@	使作出保證;犯(罪),做(錯事等)
complicate@	使複雜化
compose@	作(詩,曲等);構(圖)
concentrate@	濃縮;全神貫注
concrete@	使凝固;使結合
confess@	坦白,供認,承認
confine@	限制;使局限
congratulate@	祝賀;恭禧
conquer@	克服;征服
consist@	組成,構成
constitute@	構成,組成
construct@	建造,構成
consult@	與...商量
consume@	消耗,花費;耗盡
content@	使滿足
contest@	競爭,角逐;爭辯
contrast@	使對比,使對照
contribute@	捐獻,捐助;貢獻,出力
converse@	交談,談話
convey@	運送;傳達
convince@	使信服;說服
cooperate@	合作,協作;(事物)配合
cope@	競爭
cork@	用軟木塞塞住;抑制
correspond@	符合,一致
counter@	反對;反擊
crack@	砸開
cram@	把...塞滿;死記硬背
cripple@	使成跛子;使殘廢
criticize@	批評;批判;苛求
crush@	壓碎,壓壞
cube@	使成立方形;切成小方塊
cue@	給...暗示
curl@	使(頭髮)捲曲
curse@	詛咒,咒罵
curve@	使彎曲;使成曲線
cushion@	緩和...的衝擊
damn@	罵...該死,咒罵
damp@	使潮濕;使沮喪;抑制
declare@	宣佈,宣告
decrease@	減少
defeat@	戰勝,擊敗
defend@	防禦;保衛;保護
delight@	使高興
demand@	要求,請求
demonstrate@	示範操作(產品),展示
depart@	起程,出發;離開,離去
depress@	使沮喪
deserve@	應受,該得
devise@	設計;發明
devote@	將...奉獻
differ@	不同,相異
digest@	消化(食物)
disadvantage@	使處於不利地位
discipline@	懲戒
disconnect@	切斷(電話、電源等)
discourage@	使洩氣,使沮喪
disguise@	掩飾,隱瞞
disgust@	使作嘔
dismiss@	解散,遣散;解雇;開除
disorder@	使混亂;擾亂
dispute@	爭論;爭執
distinguish@	區別;識別
distribute@	分發;分配
disturb@	妨礙,打擾
divorce@	與...離婚,使離婚
dominate@	支配,統治,控制
download@	下載
doze@	打瞌睡,打盹
draft@	起草;設計
dread@	懼怕;擔心
drift@	漂,漂流
drill@	鑽(孔);在...上鑽孔
dye@	把...染上顏色
eliminate@	排除,消除
email@	electronic mail
e-mail@	傳送電子郵件
embarrass@	使困窘
emerge@	浮現;出現
enclose@	圍住;圈起
encounter@	遭遇(敵人);遇到(困難,危險等)
endanger@	危及;使遭到危險
endure@	忍耐,忍受
enforce@	實施,執行
enlarge@	擴大;擴展
entertain@	招待,款待
equip@	裝備,配備
establish@	建立;設立
estimate@	估計,估量
evaluate@	對...評價
evidence@	顯示,表明
exaggerate@	張,誇大;對...言過其實
exhaust@	使精疲力盡
exhibit@	展示,陳列
expand@	展開,張開
explore@	探測;探勘
expose@	使暴露於
extend@	延長,延伸
feast@	盛宴款待
ferry@	用渡船運送
fetch@	(去)拿來
finance@	籌措資金
flatter@	諂媚;奉承
flee@	逃離;逃避
flunk@	失敗;不及格
flush@	湧;湧流;用水沖洗
foam@	起泡沫
forbid@	禁止,不許
forecast@	預測
frame@	給...裝框子
frost@	結霜於
frown@	皺眉;表示不滿
fuel@	加燃料;加油
fulfill@	履行(諾言等)
furnish@	給(房間)配置(傢俱等);供應;提供
gaze@	凝視,注視,盯
gear@	使適應,使適合
giggle@	咯咯地笑;傻笑
glide@	滑動,滑行
glimpse@	看一眼,瞥見
grace@	使優美
grieve@	使悲傷;使苦惱
grind@	磨(碎)
guarantee@	保證;擔保
halt@	停止;終止
harden@	使變硬;使變堅固
hasten@	催促;加速;趕緊
herd@	放牧
honeymoon@	度蜜月
hook@	用鉤鉤住
horrify@	使恐懼,使驚懼
hose@	用軟管淋澆
host@	主辦,主持;以主人身分招待
identify@	確認;識別
idle@	空轉
illustrate@	(用圖,實例等)說明
imitate@	模仿
immigrate@	遷移;遷入
impact@	壓緊;擠滿
imply@	暗指;暗示;意味著
industrialize@	使工業化
infect@	傳染;侵染;感染
initial@	簽姓名的首字母於;草簽
input@	將(資料等)輸入電腦
insert@	插入;嵌入
inspire@	鼓舞
install@	安裝,設置
instruct@	指示
insult@	侮辱,羞辱
intend@	想要;打算
intensify@	加強,增強
interact@	互相作用
interfere@	介入;干涉,干預
intermediate@	作中間人;干預
interpret@	解釋
invade@	侵入,侵略
invest@	投(資)
involve@	使捲入,連累;牽涉
isolate@	使孤立
itch@	發癢
knuckle@	用指關節敲打
labor@	勞動;努力
lag@	落後;延遲
landscape@	在(一片土地)上造園
launch@	發射;開始
lean@	倚,靠
lecture@	講課;訓斥
license@	許可,准許;發許可證給
lighten@	使光明,照亮
loan@	借出,貸與
manufacture@	(大量)製造,加工
mislead@	把...帶錯方向;把...引入歧途
misunderstand@	誤會;曲解
monitor@	監控;監聽;監測
motivate@	給...動機;刺激
mow@	刈(草坪等)上的草
murmur@	私下抱怨,咕噥
neglect@	忽視,忽略
negotiate@	談判,協商
nevertheless@	仍然,不過,然而
obtain@	得到,獲得
occupy@	佔領,佔據
offend@	冒犯;觸怒
oppose@	反對
orbit@	繞軌道運行
overcome@	戰勝;克服
overlook@	眺望;俯瞰
overtake@	追上;趕上;超過
overthrow@	打倒;推翻;廢除
pace@	踱步於
parachute@	傘降,跳傘
pedal@	踩踏板
peer@	凝視,盯著看
perfume@	使充滿香氣
pioneer@	當先驅,成為開拓者
pirate@	掠奪;剽竊
plot@	密謀,策劃;標繪
polish@	磨光,擦亮
portray@	畫;描寫
possess@	擁有,持有;具有
predict@	預言;預料
preserve@	保存,保藏;防腐
privilege@	給予...特權
proceed@	開始,著手
prompt@	提示
prosper@	繁榮,昌盛
protest@	抗議,反對
publish@	出版;發行;刊載
quake@	顫抖;震動;搖晃
quilt@	加軟襯料後縫製;東拼西湊地編(書)
rage@	發怒,怒斥
rebel@	造反;反叛
recall@	回憶;使想起;召回
recite@	背誦;朗誦;詳述
recycle@	回收
refer@	論及,談到;參考
reflect@	反射;照出,映出
reform@	改革,革新
refresh@	使得到補充;更新
register@	註冊,申報
regulate@	為...制訂規章;調節
relieve@	緩和,減輕;解除
remark@	議論;評論
remedy@	補救;糾正;去除(弊病等)
rescue@	援救;營救
research@	調查,探究
resemble@	像,類似
resign@	放棄,辭去
resolve@	解決,解答;使分解
restore@	恢復
retain@	保留,保持
retire@	退休;退役
retreat@	撤退,退卻
revenge@	替...報仇
revise@	校訂;更改
reward@	酬謝;獎勵
rhyme@	押韻
route@	給...定路線
ruin@	毀滅
sacrifice@	犧牲;獻出
salary@	給...薪水
scold@	罵,責罵
scratch@	抓;搔
sculpture@	雕刻
shelter@	遮蔽;庇護
shift@	轉移;移動
shrug@	聳(肩)
shuttle@	短程穿梭般運送
site@	為...選址;設置
sketch@	寫生;速寫;為...繪草圖
sled@	乘雪橇
sledge@	乘雪橇
sleigh@	駕雪橇;用雪橇運輸
slight@	輕視;藐視
sneeze@	打噴嚏
sob@	嗚咽;啜泣
spare@	分出,騰出(時間,人手)
spark@	發動;點燃
sparkle@	發火花;閃耀;煥發
spear@	刺,戳
split@	劈開;切開
stem@	起源於,由...而造成
strengthen@	加強;增強
strive@	努力,苦幹,奮鬥;反抗,鬥爭
stroke@	畫短線於
summarize@	總結,概述,概括
surf@	衝浪;在網路或頻道上搜索資料
surrender@	使投降,使自首
sway@	搖動;搖擺;影響
tap@	輕拍,輕叩
telegraph@	用電報發送;電匯;電購
tense@	使拉緊,使繃緊
terrify@	使害怕;使恐怖
tolerate@	忍受;寬恕;容許
transfer@	轉換;調動
transform@	使改變;使轉化
translate@	翻譯
triumph@	獲得勝利
twinkle@	(星等)閃爍;閃耀
upload@	[電腦]上載
urge@	催促;力勸
violate@	違犯;擾亂
volunteer@	自願(做)
voyage@	航行;旅行
withdraw@	提取;撤離
witness@	目擊;為...作證
wreck@	遇難;受到破壞
wrinkle@	起皺紋
counter@	反方向地,相反地
elsewhere@	在別處;往別處
furthermore@	而且,此外,再者
highly@	非常,很,高度地
largely@	大部分;主要地;大量地
lately@	近來,最近;不久前
leisurely@	從容不迫地,慢慢地
monthly@	每月;每月一次
moreover@	並且,加之,此外
mostly@	一般地,通常
namely@	即,那就是
nowadays@	現今,時下
otherwise@	除此以外;否則,不然
overnight@	一整夜的
roughly@	粗糙地;粗暴地;大約
scarcely@	幾乎不,幾乎沒有
weekly@	每週
yearly@	一年一度
amid@	在...之間;在...之中
amidst@	在...之中;在...中間
concerning@	關於
despite@	不管,儘管,任憑
including@	包括
regarding@	關於;就...而論
abdomen@	下腹
accent@	重音;腔調
acceptance@	接受;領受;(票據等的)承兌,認付
access@	通道;入口;門路
accomplishment@	成就;成績;造詣;實現
accountant@	會計師
accuracy@	正確(性);準確(性)
acid@	(化學)酸
acquaintance@	相識的人
acre@	英畝
adjective@	形容詞
adjustment@	調節;調整
admiration@	欽佩;羨慕
admission@	進入許可;入場費;承認
