save@	救;省;存錢
saw@	鋸;鋸開
say@	說
scare@	驚嚇,使恐懼
school@	教育,訓練
seat@	使就座
see@	看見
seed@	(植物)結實,結子;播種
seem@	似乎是
seesaw@	玩蹺蹺板;上下(來回)搖動
sell@	賣
send@	寄發;送
sense@	意識到;了解,領會
sentence@	宣判;判決
serve@	服務
service@	維修,保養
set@	安放;沒入
shake@	搖動;握(手)
shape@	使成形;塑造,製作
shine@	照耀
ship@	用船運;郵寄;解雇;上船,乘船
shop@	購物
shoulder@	肩起,挑起;擔負,承擔
shout@	呼叫
show@	表演;顯示
shut@	關閉
sight@	看見,發現;瞄準;察看
sing@	唱歌
sit@	坐
size@	按一定尺寸製作;估算
skin@	植皮;癒合;脫皮
sleep@	睡覺
slow@	使慢,放慢
smell@	聞
smile@	微笑
smoke@	抽煙;冒煙
snake@	蛇行
snow@	下雪
soap@	用肥皂擦洗;向...灌迷魂湯
soil@	弄髒
sound@	聽起來
sour@	使變酸;厭煩;變壞
space@	隔開
speak@	說;講
spell@	拼字
spend@	花費(錢或時間)
spoon@	用匙舀;舀取
sport@	炫耀;誇示;遊戲,;開玩笑,嘲弄;突變
stand@	站住; 堅持; 面對; 承擔...任務
star@	主演;表現出色
start@	開始
state@	陳述
station@	駐紮,部署,配置
stay@	停留
step@	跨(步);踏(腳)
stone@	用石頭鋪;用磨刀石磨
stop@	停止
store@	貯存;收存;供應;蓄有
study@	學習;讀書
sugar@	加糖於;粉飾
sun@	曬,曝; 曬太陽
surprise@	使驚奇
swim@	游泳
tail@	尾隨;盯梢;變少,縮小
take@	拿;帶;採用
talk@	講話
taste@	嘗
teach@	教
tell@	告訴
thank@	感謝
think@	想
throw@	投;拋
ticket@	加標籤於;開違規罰單
tie@	綁;繫
time@	記錄...的時間;使合拍子
tire@	疲勞
tool@	使用工具
top@	向高處升;達到頂點;高出;超越
total@	總計,合計
touch@	觸摸
toy@	玩弄,戲耍;調情,調戲
train@	訓練,培養;瞄準; 接受訓練,鍛鍊
trip@	絆,絆倒;失足,犯錯誤;旅行
trouble@	麻煩;煩惱;費心
true@	配準,擺正
try@	試做
turn@	轉
understand@	了解
up@	提高;增加;舉起;突然站起
use@	利用
view@	察看;將...看成是
visit@	訪問
voice@	(用言語)表達,說出
wait@	等候
walk@	走路
wall@	用牆圍住
want@	想要
war@	戰爭,打仗;鬥爭;對抗
warm@	使暖和
wash@	洗
waste@	浪費
watch@	注意看
water@	給...澆水;加水稀釋;流口水
wear@	穿著, 磨損, 使力竭
weather@	經受到;使風化;褪色;損壞
weekend@	度週末
weigh@	稱...的重量
welcome@	歡迎
while@	消磨(時光),輕鬆地度過
will@	將;願,要;能;願意
win@	贏得
wind@	纏繞;包,裹;蜿蜒;迂迴
wine@	喝酒
wish@	祝福
word@	用言詞表達
work@	工作; 運轉
worm@	蠕動;潛行;鑽入
worry@	擔心
worst@	最壞地,最惡劣地;最不利地
write@	寫
wrong@	冤枉,委屈;無禮地對待
yellow@	使變黃,使發黃
zero@	把...調整歸零
can@	能
cannot@	不能
do@	構成否定句,疑問句,或強調句
have@	已經
may@	可能
must@	必須
need@	(用於疑問句和否定句)需要,必須
shall@	將;應該
will@	將
about@	在四周;在附近;大約
above@	在上面;在上文;更高
across@	橫過;寬;在對面;向對面
after@	以後,之後;在後面,隨後
again@	再一次
ago@	以前
ahead@	在前;向前;預先;事前
all@	完全地;(比分等)雙方相等
almost@	幾乎
alone@	單獨地;獨自地
along@	向前;一起;帶著;來到;去到
already@	已經
also@	也
always@	總是
any@	(用於疑問句,否定句,if子句中)少許,稍微
around@	到處,四處;周圍,附近;環繞;大約
as@	跟...一樣地,同樣地;如同;例如
away@	離開
back@	回原處
before@	較早;以前;曾經;在前;向前
behind@	在背後;向背後;遲;落後
below@	在下面;到下面
best@	最好地;最適當地;最;極
better@	更好地;更適當地
between@	在中間;介乎兩者之間
both@	並;又;兩者皆
bright@	明亮地;歡快地
but@	只,僅僅,才;絕對地
by@	經過;過去;在旁邊
clean@	完全地,全然地;乾淨地
clear@	清晰地,明瞭地
close@	接近,靠近地;緊密地,緊緊地
dear@	疼愛地;高價地,昂貴地
deep@	深深地;晚,遲
direct@	筆直地;直接地;直達地
down@	向下;下降;(境況)變差;減少,減弱
downstairs@	樓下地
each@	各個(地);各自(地);每一個
early@	早;提早
east@	向東方
either@	也
else@	其他,另外;否則,要不然
enough@	足夠地;充分地;很,十分
even@	即使
ever@	從來;曾經
far@	遠;遙遠地;久遠地
fast@	快,迅速;緊緊地,牢固地;接近著
fine@	細微地;精巧地;很好地;妙
first@	先,首先;第一;首次
free@	免費地;無約束地;鬆開著;脫開著
good@	(非正式) well
half@	部分地;相當地;一半地;幾乎
hard@	辛苦地;猛烈地;牢固地
here@	在這裡
high@	高;強烈地;高聲地
home@	在家;回家;到家
how@	如何
in@	進;在裡頭;在家
inside@	在裡面;往裡面
just@	正好;剛才
last@	最後地
late@	遲到,來不及;晚
least@	最小;最少;最不
left@	在左邊;向左
less@	較小地,較少地;不如
light@	輕地;輕裝地
likely@	很可能
little@	一點點
long@	長久地;始終
loud@	大聲地,響亮地
low@	低,向下地;低聲地;低價地
maybe@	可能;也許
more@	更多;另外;再
most@	最;最多;非常,很
much@	非常;很;差不多,幾乎
near@	近地
never@	永不
next@	接下去,然後;下次;第二
no@	不
nope@	(否定的答話)不是;沒有;不可以
north@	向北方
not@	不
now@	現在
O.K.@	尚可;挺好;對吧
off@	脫下
often@	常常
OK@	尚可;挺好;對吧
okay@	對,很好地;不錯
on@	繼續;向前;開著;;在進行中
once@	一次
only@	只,僅僅,才;不料;反而
out@	在外地
outside@	外面地
over@	在上方;越過;過分,太;再一次
past@	過;經過;越過
perhaps@	或許;可能
pretty@	十分地
quick@	快,迅速地
quite@	完全地;相當
right@	向右地;馬上
round@	環繞地;循環地;在附近;逐一,挨次
same@	同樣地
second@	居第二位;第二,其次
sharp@	整(指時刻);銳利地;機警地
since@	此後;之前,以前
slow@	慢慢地;遲遲地;慢了地
small@	小聲地;小小地,細小地
so@	這麼;也如此
sometimes@	有時候
soon@	即刻;不久
south@	向南方
still@	仍然
super@	很;極
sure@	的確;一定;當然
that@	那樣,那麼
then@	當時;之後;那麼
there@	在那裡
third@	第三名
this@	這麼,這樣地
though@	(一般放在句尾)然而,還是
thus@	如此,這樣
today@	今天
together@	一同
tomorrow@	明天
tonight@	今夜;今晚
too@	也是;過於
true@	準確地;真實地
twice@	兩次
under@	在下面,在下方;從屬地
up@	向上
upstairs@	樓上地
very@	很;非常
well@	很好地;充分地
west@	向西方
when@	何時
where@	在哪兒
why@	為什麼
wide@	張得(或開得)很大地;充分地
worse@	更壞,更糟,更厲害地
worst@	最壞地,最惡劣地;最不利地
wrong@	錯誤地;邪惡地,不正當地
yeah@	是
yes@	是
yesterday@	昨天
yet@	尚未;但是
about@	大約;關於
above@	在…之上
according to@	根據;按照
across@	橫越;穿過
after@	在…之後
against@	反對
along@	沿著
among@	在...之中
around@	差不多;環繞
as@	以…的身份；作為
at@	在
before@	在…之前
behind@	在…後面
below@	在…之下
beside@	在...旁側
between@	在…和…之間
but@	除...以外
by@	經由
down@	向下
during@	在…期間
except@	除…之外
excepting@	除...之外
for@	為…做的;給
from@	從
in@	在…之內
